Uuid,Void/Retire,Fully specified name:en,Short name:en,Description:en,Data class ,Data type
e65c0cb4-0da5-414d-8698-d7bc8ecb064d,,Registration,Registration,Registration Service,Misc,N/A
979638e1-99cc-43a3-9410-8900626f479d,,Refraction,Refraction,Refraction Service,Misc,N/A
fb917c2d-b770-4f80-82b6-f78f386397a5,,Eye Exam,Eye Exam,Eye Exam Service,Misc,N/A
d970478a-40f5-48db-b6a8-a36c66a52d45,,Therapy,Therapy,Therapy Service,Misc,N/A
4b64d18b-d8d1-4325-972e-ba7552049366,,Pre-Surgery,Pre-Surgery,Pre-Surgery Service,Misc,N/A
87593930-fb12-4300-ae4b-21e7abd913d7,,Surgery,Surgery,Surgery Service,Misc,N/A
51ae5e4d-b72b-4912-bf31-a17efb690aeb,,Waiting for Service,Waiting,Waiting for Service,Misc,N/A
b1a6d6b0-0001-4bda-9f6a-000000000000,,Service,Service,Service ConvSet,ConvSet,N/A
42ed45fd-f3f6-44b6-bfc2-8bde1bb41e00,,ATT DEFAULT ATTACHMENT,ATT DEFAULT ATTACHMENT,ATT DEFAULT ATTACHMENT,Misc,N/A
7cac8397-53cd-4f00-a6fe-028e8d743f8e,,ATT IMAGE ATTACHMENT,ATT IMAGE ATTACHMENT,ATT IMAGE ATTACHMENT,Misc,N/A
